Unnamed: 0,Name,ra,dec,Flux_mjy,Flux-err_mJy,dateobs,frequency,detection,rms_image,t_del(days),Freq(GHz),Redshift,Distance_mpc,Ref
0,ASKAP J0055-2558_early_days,13.800455,-25.976193,-0.24575928,0.2418089658,2019-04-26,887.0,False,0.211243,-1014,0.887,0.116,,"Gulati,2025"
14,ASKAP J0055-2558_early_days,13.800455,-25.976193,,,2019-07-06,3000.0,False,0.13510337,-943,3.0,0.116,,"Gulati,2025"
3,ASKAP J0055-2558_early_days,13.800455,-25.976193,,,2019-08-16,943.0,False,0.030139,-902,0.943,0.116,,"Gulati,2025"
4,ASKAP J0055-2558_early_days,13.800455,-25.976193,,,2019-08-23,943.0,False,0.032918,-895,0.943,0.116,,"Gulati,2025"
5,ASKAP J0055-2558_early_days,13.800455,-25.976193,,,2019-09-16,943.0,False,0.030883,-871,0.943,0.116,,"Gulati,2025"
6,ASKAP J0055-2558_early_days,13.800455,-25.976193,,,2019-11-07,943.0,False,0.029343,-819,0.943,0.116,,"Gulati,2025"
7,ASKAP J0055-2558_early_days,13.800455,-25.976193,,,2020-04-03,943.0,False,0.024367,-671,0.943,0.116,,"Gulati,2025"
8,ASKAP J0055-2558_early_days,13.800455,-25.976193,,,2020-04-29,943.0,False,0.033534,-645,0.943,0.116,,"Gulati,2025"
9,ASKAP J0055-2558_early_days,13.800455,-25.976193,,,2020-07-03,943.0,False,0.025096,-580,0.943,0.116,,"Gulati,2025"
10,ASKAP J0055-2558_early_days,13.800455,-25.976193,,,2020-11-28,943.0,False,0.03064,-432,0.943,0.116,,"Gulati,2025"
11,ASKAP J0055-2558_early_days,13.800455,-25.976193,,,2020-11-29,943.0,False,0.034317,-431,0.943,0.116,,"Gulati,2025"
2,ASKAP J0055-2558_early_days,13.800455,-25.976193,,,2021-01-06,1367.5,False,0.15533581,-393,1.3675,0.116,,"Gulati,2025"
12,ASKAP J0055-2558_early_days,13.800455,-25.976193,,,2021-05-29,943.0,False,0.030505,-250,0.943,0.116,,"Gulati,2025"
13,ASKAP J0055-2558_early_days,13.800455,-25.976193,2.905216,0.288513,2022-02-04,3000.0,True,0.1396161,1,3.0,0.116,,"Gulati,2025"
1,ASKAP J0055-2558_early_days,13.800455,-25.976193,1.299,0.228971,2022-04-15,887.0,True,0.128,71,0.887,0.116,,"Gulati,2025"
