Name,t_del(days),Freq(GHz),Flux_mjy,Flux-err_mJy,Distance_mpc,Ref,Redshift
AGN 1ES 1927+654,2007,8.36,53.85,0.07,,"Meyer,2025",0.017
AGN 1ES 1927+654,2030,8.36,52.07,0.11,,"Meyer,2025",0.017
AGN 1ES 1927+654,2064,8.36,50.88,0.06,,"Meyer,2025",0.017
AGN 1ES 1927+654,1463,8.37,1.2,0.03,,"Meyer,2025",0.017
AGN 1ES 1927+654,1619,8.37,1.1,0.02,,"Meyer,2025",0.017
AGN 1ES 1927+654,1805,8.37,10.57,0.03,,"Meyer,2025",0.017
AGN 1ES 1927+654,1967,8.37,59.42,0.1,,"Meyer,2025",0.017
AGN 1ES 1927+654,2094,8.37,45.31,0.2,,"Meyer,2025",0.017
AGN 1ES 1927+654,2124,8.37,48.99,0.07,,"Meyer,2025",0.017
AGN 1ES 1927+654,2169,8.37,47.42,0.05,,"Meyer,2025",0.017
AGN 1ES 1927+654,2244,8.37,54.04,0.05,,"Meyer,2025",0.017
AGN 1ES 1927+654,2280,8.37,61.36,0.12,,"Meyer,2025",0.017
AGN 1ES 1927+654,2059,8.41,44.53,0.06,,"Meyer,2025",0.017
AGN 1ES 1927+654,1881,8.42,47.09,0.05,,"Meyer,2025",0.017
AGN 1ES 1927+654,1905,8.42,39.79,0.04,,"Meyer,2025",0.017
AGN 1ES 1927+654,1912,8.42,45.91,0.07,,"Meyer,2025",0.017
AGN 1ES 1927+654,1916,8.42,50.11,0.05,,"Meyer,2025",0.017
AGN 1ES 1927+654,1923,8.42,57.22,0.13,,"Meyer,2025",0.017
AGN 1ES 1927+654,685,8.43,0.26,0.03,,"Meyer,2025",0.017
