Name,t_del(days),Freq(GHz),Flux_mjy,Flux-err_mJy,Distance_mpc,Ref,Redshift
AT 2018hyz ,1290,9.0,6.31,0.63,,"Sfaradi, 2024",0.0457
AT 2018hyz ,1126,9.0,2.03,0.027,,"Cendes,2022",0.0457
AT 2018hyz ,1199,9.0,3.11,0.052,,"Cendes,2022",0.0457
AT 2018hyz ,1251,9.0,4.249,0.124,,"Cendes,2022",0.0457
AT 2018hyz ,1296,9.0,6.153,0.137,,"Cendes,2022",0.0457
AT 2018hyz ,1326,15.5,5.35,1.07,,"Sfaradi, 2024",0.0457
AT 2018hyz ,1392,15.5,6.65,1.33,,"Sfaradi, 2024",0.0457
AT 2018hyz ,1466,15.5,7.72,1.54,,"Sfaradi, 2024",0.0457
AT 2018hyz ,1496,15.5,8.69,1.74,,"Sfaradi, 2024",0.0457
AT 2018hyz ,1578,15.5,10.2,2.0,,"Sfaradi, 2024",0.0457
iPTF 16fnl,153,7.4,0.184,0.029,,"Horesh,2021",0.0163
iPTF 16fnl,381,15.5,0.12,0.024,,"Horesh,2021",0.0163
iPTF 16fnl,417,15.5,0.151,0.045,,"Horesh,2021",0.0163
iPTF 16fnl,1752,9.0,0.024,0.006,,"Cendes, 2024",0.0163
AT2019dsg,60,9.0,0.43,0.03,,"Cendes,2021",0.051
AT2019dsg,82,9.0,0.68,0.02,,"Cendes,2021",0.051
AT2019dsg,161,9.0,1.03,0.03,,"Cendes,2021",0.051
AT2019dsg,300,9.0,0.46,0.03,,"Cendes,2021",0.051
AT2019dsg,42,9.51,0.408,0.035,,"Stein, 2021",0.051
AT2019dsg,70,9.51,0.73,0.047,,"Stein, 2021",0.051
AT2019dsg,120,9.51,1.238,0.069,,"Stein, 2021",0.051
AT2019dsg,178,9.51,0.921,0.054,,"Stein, 2021",0.051
AT2019dsg,796,7.0,0.132,0.013,,"Cendes, 2024",0.051
ASASSN-14ae,2696,9.0,0.155,0.01,,"Cendes, 2024",0.0436
ASASSN-14ae,3243,9.0,0.382,0.02,,"Cendes, 2024",0.0436
PS16dtm,1767,9.0,0.256,0.01,,"Cendes, 2024",0.0804
PS16dtm,2291,10.0,0.089,0.015,,"Cendes, 2024",0.0804
AT2018zr,1713,9.0,0.088,0.016,,"Cendes, 2024",0.075
AT2019teq,1155,11.0,0.046,0.018,,"Cendes, 2024",0.087
AT2018dyb,1657,9.0,0.27,0.03,,"Cendes, 2024",0.018
AT2018hco,1191,9.0,0.161,0.01,,"Cendes, 2024",0.088
AT2018hco,1311,9.0,0.111,0.019,,"Cendes, 2024",0.088
AT2019ehz,970,9.0,0.401,0.014,,"Cendes, 2024",0.074
AT2019ehz,1262,9.0,0.184,0.013,,"Cendes, 2024",0.074
AT2019eve,945,9.0,0.385,0.034,,"Cendes, 2024",0.081
AT2019eve,1092,9.0,0.3,0.013,,"Cendes, 2024",0.081
AT2019eve,1325,9.0,0.272,0.019,,"Cendes, 2024",0.081
ASASSN-15oi,233,8.5,0.686,0.013,216.0,"Horesh, 2021",
ASASSN-15oi,190,9.0,1.204,0.014,216.0,"Horesh, 2021",
ASASSN-15oi,197,9.0,1.072,0.014,216.0,"Horesh, 2021",
ASASSN-15oi,283,9.0,0.578,0.01,216.0,"Horesh, 2021",
ASASSN-15oi,369,9.0,0.547,0.014,216.0,"Horesh, 2021",
ASASSN-15oi,576,9.0,0.201,0.014,216.0,"Horesh, 2021",
ASASSN-15oi,1741,9.0,7.3,0.3,216.0,"Hajela,2024",
ASASSN-15oi,2129,9.5,4.4,0.2,216.0,"Hajela,2024",
ASASSN-15oi,2384,8.3,1.4,0.3,216.0,"Hajela,2024",
ASASSN-15oi,2660,8.7,3.5,0.3,216.0,"Hajela,2024",
ASASSN-15oi,2970,9.5,1.5,0.1,216.0,"Hajela,2024",
AT2020vwl,116,9.0,0.552,0.028,147.0,"Goodwin, 23+Goodwin,25",
AT2020vwl,120,9.0,0.517,0.028,147.0,"Goodwin, 23+Goodwin,25",
AT2020vwl,209,9.0,0.44,0.022,147.0,"Goodwin, 23+Goodwin,25",
AT2020vwl,305,9.0,0.186,0.009,147.0,"Goodwin, 23+Goodwin,25",
AT2020vwl,373,9.0,0.109,0.013,147.0,"Goodwin, 23+Goodwin,25",
AT2020vwl,430,9.0,0.081,0.009,147.0,"Goodwin, 23+Goodwin,25",
AT2020vwl,903,9.0,0.325,0.014,147.0,"Goodwin, 23+Goodwin,25",
AT2020vwl,1025,9.0,0.188,0.016,147.0,"Goodwin, 23+Goodwin,25",
AT2020vwl,1126,9.0,0.133,0.017,147.0,"Goodwin, 23+Goodwin,25",
AT2020vwl,1263,9.0,0.106,0.014,147.0,"Goodwin, 23+Goodwin,25",
AT2020vwl,752,9.1,0.082,0.011,147.0,"Goodwin, 23+Goodwin,25",
AT2020vwl,575,10.0,0.068,0.006,147.0,"Goodwin, 23+Goodwin,25",
eRASSt J190147-552200,908,9.0,0.167,0.01,,"Goodwin,25",0.058
eRASSt J190147-552201,1178,9.0,0.116,0.16,,"Goodwin,25",0.058
eRASSt J234403-352641 ,746,9.0,0.399,0.018,,"Goodwin,25",0.1
eRASSt J234403-352642,924,9.0,0.303,0.018,,"Goodwin,25",0.1
eRASSt J142140-295321 ,1526,9.0,0.064,0.019,,"Goodwin,25",0.056
eRASSt J082337+042302 ,1251,9.0,0.771,0.04,,"Goodwin,25",0.0028
eRASSt J082337+042303,1446,9.0,0.594,0.016,,"Goodwin,25",0.0028
