Name,t_del(days),Freq(GHz),Flux_mjy,Flux-err_mJy,Distance_mpc,Ref,Redshift
AT2018cow,10.48,9.0,0.27,0.06,60.0,"Ho,2019",
AT2018cow,13.47,9.0,0.52,0.04,60.0,"Ho,2019",
AT2018cow,17.47,9.0,0.99,0.03,60.0,"Ho,2019",
AT2018cow,83.51,9.0,9.1,0.3,60.0,"Margutti,2019",
AT2018cow,132.56,9.0,4.03,0.05,60.0,"Margutti,2019",
AT2018cow,150.21,13.5,1.52,0.03,60.0,"Margutti,2019",
ZTF18abvkwla ,81.0,10.0,0.364,0.006,,"Ho,2020",0.27
ZTF18abvkwla ,310.0,10.0,0.061,0.003,,"Ho,2020",0.27
ZTF18abvkwla ,352.0,10.0,0.045,0.003,,"Ho,2020",0.27
ZTF18abvkwla ,396.0,10.0,0.031,0.003,,"Ho,2020",0.27
CSS161010,99.0,9.87,4.2,0.02,150.0,"Coppejans,2020",
CSS161010,162.0,9.74,1.74,0.09,150.0,"Coppejans,2020",
CSS161010,357.0,10.0,0.032,0.008,150.0,"Coppejans,2020",
AT20xnd,13.01,10.0,0.023,0.005,,"Bright,2022",0.2433
AT20xnd,45.09,9.82,0.112,0.015,,"Bright,2022",0.2433
AT20xnd,167.78,9.824,0.049,0.019,,"Bright,2022",0.2433
AT2023fhn,95.5869,10.0,0.105,0.007,,"Chrimes,2024",0.24
AT2023fhn,138.16972,10.0,0.197,0.006,,"Chrimes,2024",0.24
AT2020mrf,262.9,8.49,0.277,0.023,,"Yao,2022",0.135
AT2020mrf,417.5,10.0,0.049,0.008,,"Yao,2022",0.135
