Name,t_del(days),Freq(GHz),Flux_mjy,Flux-err_mJy,Distance_mpc,Ref,Redshift
GRB 970508,5.06,8.46,0.43,0.025,,"Frail,1999",0.835
GRB 970508,6.23,8.46,0.61,0.033,,"Frail,1999",0.835
GRB 970508,7.59,8.46,0.52,0.018,,"Frail,1999",0.835
GRB 970508,7.89,8.46,0.602,0.024,,"Frail,1999",0.835
GRB 970508,8.4,8.46,0.604,0.056,,"Frail,1999",0.835
GRB 970508,9.95,8.46,0.61,0.051,,"Frail,1999",0.835
GRB 970508,12.1,8.46,1.27,0.12,,"Frail,1999",0.835
GRB 970508,12.23,8.46,0.93,0.12,,"Frail,1999",0.835
GRB 970508,13.2,8.46,0.57,0.042,,"Frail,1999",0.835
GRB 970508,13.59,8.46,0.88,0.033,,"Frail,1999",0.835
GRB 970508,14.1,8.46,1.26,0.1,,"Frail,1999",0.835
GRB 970508,14.23,8.46,0.96,0.1,,"Frail,1999",0.835
GRB 970508,15.58,8.46,0.55,0.044,,"Frail,1999",0.835
GRB 970508,16.06,8.46,0.47,0.043,,"Frail,1999",0.835
GRB 970508,16.95,8.46,0.48,0.045,,"Frail,1999",0.835
GRB 970508,18.77,8.46,0.5,0.049,,"Frail,1999",0.835
GRB 970508,19.2,8.46,0.538,0.1,,"Frail,1999",0.835
GRB 970508,19.33,8.46,0.835,0.1,,"Frail,1999",0.835
GRB 970508,20.2,8.46,1.2,0.047,,"Frail,1999",0.835
GRB 970508,22.05,8.46,0.81,0.048,,"Frail,1999",0.835
GRB 970508,23.09,8.46,0.29,0.046,,"Frail,1999",0.835
GRB 970508,24.39,8.46,0.72,0.062,,"Frail,1999",0.835
GRB 970508,24.51,8.46,0.94,0.027,,"Frail,1999",0.835
GRB 970508,24.6,8.46,0.96,0.04,,"Frail,1999",0.835
GRB 970508,25.0,8.46,0.76,0.045,,"Frail,1999",0.835
GRB 970508,26.04,8.46,0.67,0.043,,"Frail,1999",0.835
GRB 970508,28.07,8.46,0.69,0.028,,"Frail,1999",0.835
GRB 970508,31.84,8.46,0.53,0.038,,"Frail,1999",0.835
GRB 970508,35.09,8.46,0.6,0.039,,"Frail,1999",0.835
GRB 970508,36.83,8.46,0.46,0.066,,"Frail,1999",0.835
GRB 970508,40.02,8.46,0.56,0.04,,"Frail,1999",0.835
GRB 970508,41.06,8.46,0.63,0.063,,"Frail,1999",0.835
GRB 970508,42.96,8.46,0.8,0.032,,"Frail,1999",0.835
GRB 970508,45.03,8.46,0.645,0.038,,"Frail,1999",0.835
GRB 970508,48.73,8.46,0.68,0.046,,"Frail,1999",0.835
GRB 970508,50.78,8.46,0.565,0.036,,"Frail,1999",0.835
GRB 970508,54.46,8.46,0.805,0.043,,"Frail,1999",0.835
GRB 970508,56.69,8.46,0.71,0.049,,"Frail,1999",0.835
GRB 970508,63.2,8.46,0.725,0.04,,"Frail,1999",0.835
GRB 970508,66.71,8.46,0.68,0.046,,"Frail,1999",0.835
GRB 970508,67.43,8.46,0.63,0.037,,"Frail,1999",0.835
GRB 970508,70.54,8.46,0.575,0.061,,"Frail,1999",0.835
GRB 970508,70.74,8.46,0.515,0.041,,"Frail,1999",0.835
GRB 970508,74.65,8.46,0.44,0.051,,"Frail,1999",0.835
GRB 970508,82.56,8.46,0.455,0.085,,"Frail,1999",0.835
GRB 970508,87.11,8.46,0.38,0.042,,"Frail,1999",0.835
GRB 970508,88.45,8.46,0.445,0.05,,"Frail,1999",0.835
GRB 970508,90.33,8.46,0.43,0.039,,"Frail,1999",0.835
GRB 970508,94.36,8.46,0.64,0.04,,"Frail,1999",0.835
GRB 970508,98.23,8.46,0.565,0.049,,"Frail,1999",0.835
GRB 970508,99.72,8.46,0.4,0.06,,"Frail,1999",0.835
GRB 970508,105.6,8.46,0.47,0.044,,"Frail,1999",0.835
GRB 970508,114.92,8.46,0.315,0.07,,"Frail,1999",0.835
GRB 970508,117.55,8.46,0.355,0.047,,"Frail,1999",0.835
GRB 970508,118.81,8.46,0.37,0.07,,"Frail,1999",0.835
GRB 970508,122.5,8.46,0.35,0.047,,"Frail,1999",0.835
GRB 970508,126.74,8.46,0.37,0.039,,"Frail,1999",0.835
GRB 970508,140.46,8.46,0.33,0.045,,"Frail,1999",0.835
GRB 970508,148.72,8.46,0.31,0.056,,"Frail,1999",0.835
GRB 970508,157.33,8.46,0.28,0.037,,"Frail,1999",0.835
GRB 970508,165.5,8.46,0.24,0.034,,"Frail,1999",0.835
GRB 970508,170.66,8.46,0.3,0.037,,"Frail,1999",0.835
GRB 970508,181.29,8.46,0.24,0.024,,"Frail,1999",0.835
GRB 970508,194.25,8.46,0.24,0.03,,"Frail,1999",0.835
GRB 970508,214.24,8.46,0.17,0.03,,"Frail,1999",0.835
GRB 970508,238.18,8.46,0.16,0.03,,"Frail,1999",0.835
GRB 970508,257.08,8.46,0.15,0.036,,"Frail,1999",0.835
GRB 970508,275.14,8.46,0.095,0.024,,"Frail,1999",0.835
GRB 970508,309.19,8.46,0.105,0.015,,"Frail,1999",0.835
GRB 970828,2.5,8.46,0.037,0.03,,"Djorgovski,2001",0.958
GRB 970828,3.5,8.46,0.147,0.033,,"Djorgovski,2001",0.958
GRB 970828,5.6,8.46,0.11,0.05,,"Djorgovski,2001",0.958
GRB 970828,18.5,8.46,0.065,0.033,,"Djorgovski,2001",0.958
GRB 970828,21.4,8.46,0.022,0.03,,"Djorgovski,2001",0.958
GRB 970828,41.4,8.46,0.02,0.014,,"Djorgovski,2001",0.958
GRB 970828,49.3,8.46,0.007,0.018,,"Djorgovski,2001",0.958
GRB 970828,50.0,8.46,0.02,0.021,,"Djorgovski,2001",0.958
GRB 970828,54.5,8.46,0.007,0.021,,"Djorgovski,2001",0.958
GRB 970828,55.3,8.46,0.019,0.05,,"Djorgovski,2001",0.958
GRB 970828,55.5,8.46,0.04,0.036,,"Djorgovski,2001",0.958
GRB 970828,82.3,8.46,0.032,0.013,,"Djorgovski,2001",0.958
GRB 970828,90.3,8.46,0.027,0.014,,"Djorgovski,2001",0.958
GRB 970828,158.0,8.46,0.021,0.017,,"Djorgovski,2001",0.958
GRB 980329,1.07,8.3,0.166,0.05,,"Taylor,1998",2.0
GRB 980329,2.97,8.3,0.256,0.016,,"Taylor,1998",2.0
GRB 980329,3.99,8.3,0.084,0.023,,"Taylor,1998",2.0
GRB 980329,4.98,8.3,0.109,0.047,,"Taylor,1998",2.0
GRB 980329,5.95,8.3,0.135,0.021,,"Taylor,1998",2.0
GRB 980329,6.96,8.3,0.194,0.026,,"Taylor,1998",2.0
GRB 980329,8.73,8.3,0.058,0.037,,"Taylor,1998",2.0
GRB 980329,9.9,8.3,0.179,0.041,,"Taylor,1998",2.0
GRB 980329,12.93,8.3,0.274,0.034,,"Taylor,1998",2.0
GRB 980329,19.88,8.3,0.227,0.022,,"Taylor,1998",2.0
GRB 980329,20.84,8.3,0.205,0.017,,"Taylor,1998",2.0
GRB 980329,22.11,8.3,0.088,0.021,,"Taylor,1998",2.0
GRB 980329,23.75,8.3,0.291,0.017,,"Taylor,1998",2.0
GRB 980329,24.94,8.3,0.245,0.037,,"Taylor,1998",2.0
GRB 980329,28.86,8.3,0.465,0.09,,"Taylor,1998",2.0
GRB 980329,31.94,8.3,0.299,0.051,,"Taylor,1998",2.0
GRB 980703,428.64,8.46,0.038,0.008,,"Berger,2001",0.966
GRB 980703,610.52,8.46,0.055,0.019,,"Berger,2001",0.966
GRB 980703,908.38,8.46,0.04,0.008,,"Berger,2001",0.966
GRB 980703,985.8,8.46,0.029,0.012,,"Berger,2001",0.966
GRB 981226,3.51,8.46,0.073,0.027,,"Frail,1999",1.11
GRB 981226,4.54,8.46,0.143,0.045,,"Frail,2000",1.11
GRB 981226,8.54,8.46,0.169,0.028,,"Frail,2000",1.11
GRB 981226,12.57,4.86,0.213,0.043,,"Frail,2000",1.11
GRB 981226,12.57,8.46,0.067,0.029,,"Frail,2000",1.11
GRB 981226,15.65,8.46,0.08,0.03,,"Frail,2000",1.11
GRB 981226,20.68,8.46,0.228,0.03,,"Frail,2000",1.11
GRB 981226,24.48,8.46,0.027,0.014,,"Frail,2000",1.11
GRB 981226,26.44,8.46,0.037,0.02,,"Frail,2000",1.11
GRB 981226,68.31,8.46,0.214,0.019,,"Frail,2000",1.11
GRB 981226,69.52,8.46,0.214,0.014,,"Frail,2000",1.11
GRB 981226,92.33,8.46,0.009,0.025,,"Frail,2000",1.11
GRB 981226,152.03,8.46,0.015,0.02,,"Frail,2000",1.11
GRB 990510,1.0,8.6,0.104,0.074,,"Harrison,1999",1.619
GRB 990510,3.0,8.7,0.227,0.03,,"Harrison,1999",1.619
GRB 990510,6.0,8.7,0.202,0.031,,"Harrison,1999",1.619
GRB 990510,8.0,8.7,0.138,0.032,,"Harrison,1999",1.619
GRB 990510,10.0,8.6,0.127,0.031,,"Harrison,1999",1.619
GRB 990510,15.0,8.7,0.082,0.032,,"Harrison,1999",1.619
GRB 991208,3.0,8.46,0.707,0.039,,"Galama,2000",0.706
GRB 991208,4.0,8.46,1.63,0.051,,"Galama,2000",0.706
GRB 991208,6.0,8.46,1.9,0.066,,"Galama,2000",0.706
GRB 991208,8.0,8.46,1.99,0.033,,"Galama,2000",0.706
GRB 991208,10.0,8.46,0.999,0.05,,"Galama,2000",0.706
GRB 991208,11.0,8.46,1.182,0.052,,"Galama,2000",0.706
GRB 991208,12.0,8.46,1.93,0.053,,"Galama,2000",0.706
GRB 991208,13.0,8.46,1.173,0.049,,"Galama,2000",0.706
GRB 991208,14.0,8.46,1.146,0.066,,"Galama,2000",0.706
GRB 991208,15.61,8.46,0.782,0.04,,"Galama,2003",0.706
GRB 991208,18.59,8.46,0.693,0.038,,"Galama,2003",0.706
GRB 991208,20.79,8.46,0.464,0.044,,"Galama,2003",0.706
GRB 991208,21.3,8.46,0.679,0.03,,"Galama,2003",0.706
GRB 991208,28.75,8.46,0.646,0.058,,"Galama,2003",0.706
GRB 991208,32.7,8.46,0.337,0.034,,"Galama,2003",0.706
GRB 991208,36.6,8.46,0.574,0.025,,"Galama,2003",0.706
GRB 991208,40.66,8.46,0.4,0.023,,"Galama,2003",0.706
GRB 991208,44.73,8.46,0.458,0.031,,"Galama,2003",0.706
GRB 991208,48.66,8.46,0.442,0.023,,"Galama,2003",0.706
GRB 991208,53.66,8.46,0.29,0.021,,"Galama,2003",0.706
GRB 991208,58.61,8.46,0.239,0.024,,"Galama,2003",0.706
GRB 991208,64.59,8.46,0.232,0.027,,"Galama,2003",0.706
GRB 991208,96.44,8.46,0.172,0.033,,"Galama,2003",0.706
GRB 991208,110.38,8.46,0.177,0.047,,"Galama,2003",0.706
GRB 991208,127.48,8.46,0.123,0.026,,"Galama,2003",0.706
GRB 991208,148.43,8.46,0.106,0.023,,"Galama,2003",0.706
GRB 991208,151.45,8.46,0.152,0.025,,"Galama,2003",0.706
GRB 991208,181.26,8.46,0.038,0.04,,"Galama,2003",0.706
GRB 991208,189.21,8.46,0.029,0.03,,"Galama,2003",0.706
GRB 991208,263.57,8.46,0.031,0.027,,"Galama,2003",0.706
GRB 991208,277.66,8.46,0.044,0.021,,"Galama,2003",0.706
