Name,t_del(days),Freq(GHz),Flux_mjy,Flux-err_mJy,Distance_mpc,Ref,Redshift
SW1644+57 ,14.97,8.4,5.49,0.09,,"Berger,2012",0.353
SW1644+57 ,127.69,8.4,19.03,0.14,,"Berger,2012",0.353
SW1644+57 ,159.77,8.4,22.15,0.2,,"Berger,2012",0.353
SW1644+57 ,174.47,8.4,23.19,0.38,,"Berger,2012",0.353
SW1644+57 ,177.5,8.4,23.65,0.16,,"Berger,2012",0.353
SW1644+57 ,197.41,8.4,22.42,0.1,,"Berger,2012",0.353
SW1644+57 ,243.09,8.6,20.76,0.24,,"Zauderer, 2013",0.353
SW1644+57 ,394.72,8.6,13.84,0.03,,"Zauderer, 2013",0.353
SW1644+57 ,460.67,8.6,10.89,0.03,,"Zauderer, 2013",0.353
SW1644+57 ,582.21,8.6,7.14,0.03,,"Zauderer, 2013",0.353
SW1644+57 ,213.32,8.4,22.04,0.13,,"Berger,2012",0.353
SW1644+57 ,219.22,8.4,21.52,0.09,,"Berger,2012",0.353
SW1644+57 ,651.1,8.5,5.99,0.06,,"Eftekhari,2018",0.353
SW1644+57 ,1029.0,8.5,3.13,0.02,,"Eftekhari,2018",0.353
SW1644+57 ,1373.0,8.5,1.48,0.05,,"Eftekhari,2018",0.353
SW1644+57 ,1894.0,8.5,0.93,0.02,,"Eftekhari,2018",0.353
SW1644+57 ,2493.0,9.8,0.53,0.01,,"Cendes,2021",0.353
SW1644+57 ,2795.0,9.8,0.4,0.02,,"Cendes,2021",0.353
SWJ2058.4+0517,43.0,7.9,0.84,0.04,,"Cenko,2012",1.1853
SWJ2058.4+0517,63.0,8.4,1.34,0.04,,"Cenko,2012",1.1853
SWJ2058.4+0517,88.0,8.4,0.35,0.07,,"Pasham,2015",1.1853
Swift J1112.2−8238 ,1431.0,9.0,0.07,0.03,,"Brown,2017",0.89
ARP-299,168.5,8.4,966.0,1150.0,44.8,"Mattila,2018",
ARP-299,440.5,8.4,7670.0,7670.0,44.8,"Mattila,2018",
ARP-299,2674.5,8.4,697.0,1557.0,44.8,"Mattila,2018",
ARP-299,2958.5,8.4,767.0,2416.0,44.8,"Mattila,2018",
ARP-299,3052.5,8.4,680.0,770.0,44.8,"Mattila,2018",
ARP-299,3201.5,8.4,760.0,1349.0,44.8,"Mattila,2018",
ARP-299,3776.5,8.4,95.0,878.0,44.8,"Mattila,2018",
ARP-299,4205.5,8.4,274.0,562.0,44.8,"Mattila,2018",
AT2022cmc,4.07,8.5,0.033,0.007,,"Andreoni,2022",1.1935
AT2022cmc,4.07,9.5,0.046,0.007,,"Andreoni,2022",1.1935
AT2022cmc,5.07,8.5,0.043,0.008,,"Andreoni,2022",1.1935
AT2022cmc,5.07,9.5,0.049,0.007,,"Andreoni,2022",1.1935
AT2022cmc,6.06,8.5,0.073,0.011,,"Andreoni,2022",1.1935
AT2022cmc,6.06,9.5,0.09,0.01,,"Andreoni,2022",1.1935
AT2022cmc,6.06,10.5,0.137,0.01,,"Andreoni,2022",1.1935
AT2022cmc,6.88,8.5,0.069,0.009,,"Andreoni,2022",1.1935
AT2022cmc,6.88,9.5,0.078,0.009,,"Andreoni,2022",1.1935
AT2022cmc,6.88,10.5,0.09,0.009,,"Andreoni,2022",1.1935
AT2022cmc,8.8,8.5,0.109,0.016,,"Andreoni,2022",1.1935
AT2022cmc,8.8,9.5,0.141,0.014,,"Andreoni,2022",1.1935
AT2022cmc,8.8,10.5,0.184,0.017,,"Andreoni,2022",1.1935
AT2022cmc,10.83,8.5,0.108,0.019,,"Andreoni,2022",1.1935
AT2022cmc,10.83,9.5,0.144,0.018,,"Andreoni,2022",1.1935
AT2022cmc,10.83,10.5,0.196,0.019,,"Andreoni,2022",1.1935
AT2022cmc,10.83,11.5,0.22,0.022,,"Andreoni,2022",1.1935
AT2022cmc,11.78,8.5,0.102,0.016,,"Andreoni,2022",1.1935
AT2022cmc,11.78,9.5,0.132,0.015,,"Andreoni,2022",1.1935
AT2022cmc,11.78,10.5,0.155,0.015,,"Andreoni,2022",1.1935
AT2022cmc,15.13,8.5,0.137,0.015,,"Andreoni,2022",1.1935
AT2022cmc,15.13,9.5,0.16,0.014,,"Andreoni,2022",1.1935
AT2022cmc,15.13,10.5,0.182,0.017,,"Andreoni,2022",1.1935
AT2022cmc,15.13,11.5,0.228,0.019,,"Andreoni,2022",1.1935
AT2022cmc,20.8,8.5,0.17,0.012,,"Andreoni,2022",1.1935
AT2022cmc,20.8,9.5,0.22,0.011,,"Andreoni,2022",1.1935
AT2022cmc,20.8,10.5,0.234,0.013,,"Andreoni,2022",1.1935
AT2022cmc,47.73,8.5,0.27,0.012,,"Andreoni,2022",1.1935
AT2022cmc,47.73,9.5,0.336,0.011,,"Andreoni,2022",1.1935
AT2022cmc,47.73,10.5,0.385,0.012,,"Andreoni,2022",1.1935
AT2022cmc,14.66423,15.5,0.448033,0.0344,,"Rhodes,2025",1.1935
AT2022cmc,19.74822,15.5,0.48027,0.0653,,"Rhodes,2025",1.1935
AT2022cmc,23.72068,15.5,0.449985,0.0494,,"Rhodes,2025",1.1935
AT2022cmc,24.59635,15.5,0.575123,0.0498,,"Rhodes,2025",1.1935
AT2022cmc,25.62796,15.5,0.525102,0.035,,"Rhodes,2025",1.1935
AT2022cmc,26.71943,15.5,0.617668,0.0459,,"Rhodes,2025",1.1935
AT2022cmc,27.65021,15.5,0.599474,0.0339,,"Rhodes,2025",1.1935
AT2022cmc,29.62121,15.5,0.672136,0.0436,,"Rhodes,2025",1.1935
AT2022cmc,30.64229,15.5,0.724472,0.056,,"Rhodes,2025",1.1935
AT2022cmc,31.62958,15.5,0.80661,0.0748,,"Rhodes,2025",1.1935
AT2022cmc,33.62067,15.5,0.697997,0.0942,,"Rhodes,2025",1.1935
AT2022cmc,35.70137,15.5,0.705846,0.0659,,"Rhodes,2025",1.1935
AT2022cmc,36.54389,15.5,0.637985,0.043,,"Rhodes,2025",1.1935
AT2022cmc,38.56268,15.5,0.826131,0.0567,,"Rhodes,2025",1.1935
AT2022cmc,39.55441,15.5,0.665606,0.0553,,"Rhodes,2025",1.1935
AT2022cmc,41.62098,15.5,0.79884,0.043,,"Rhodes,2025",1.1935
AT2022cmc,42.52773,15.5,0.663269,0.0431,,"Rhodes,2025",1.1935
AT2022cmc,44.58371,15.5,0.84466,0.0359,,"Rhodes,2025",1.1935
AT2022cmc,45.52211,15.5,0.755493,0.0489,,"Rhodes,2025",1.1935
AT2022cmc,46.7135,15.5,0.623474,0.0837,,"Rhodes,2025",1.1935
AT2022cmc,47.69108,15.5,0.671347,0.0461,,"Rhodes,2025",1.1935
AT2022cmc,49.52711,15.5,0.756393,0.0418,,"Rhodes,2025",1.1935
AT2022cmc,50.65528,15.5,0.888736,0.0382,,"Rhodes,2025",1.1935
AT2022cmc,57.62923,15.5,0.816704,0.0395,,"Rhodes,2025",1.1935
AT2022cmc,58.57802,15.5,0.911308,0.0342,,"Rhodes,2025",1.1935
AT2022cmc,60.64716,15.5,0.77641,0.0684,,"Rhodes,2025",1.1935
AT2022cmc,62.50616,15.5,0.85718,0.0456,,"Rhodes,2025",1.1935
AT2022cmc,63.61978,15.5,0.751612,0.0969,,"Rhodes,2025",1.1935
AT2022cmc,66.60674,15.5,0.792663,0.0905,,"Rhodes,2025",1.1935
AT2022cmc,67.61301,15.5,0.911831,0.0426,,"Rhodes,2025",1.1935
AT2022cmc,68.64274,15.5,0.702423,0.0505,,"Rhodes,2025",1.1935
AT2022cmc,69.45658,15.5,0.918763,0.0385,,"Rhodes,2025",1.1935
AT2022cmc,71.5086,15.5,0.874219,0.0447,,"Rhodes,2025",1.1935
AT2022cmc,72.44492,15.5,0.792993,0.0391,,"Rhodes,2025",1.1935
AT2022cmc,74.59737,15.5,0.851344,0.0389,,"Rhodes,2025",1.1935
AT2022cmc,76.59466,15.5,0.924457,0.039,,"Rhodes,2025",1.1935
AT2022cmc,82.47994,15.5,0.859926,0.0618,,"Rhodes,2025",1.1935
AT2022cmc,83.5727,15.5,0.816305,0.0522,,"Rhodes,2025",1.1935
AT2022cmc,85.41705,15.5,0.961924,0.0469,,"Rhodes,2025",1.1935
AT2022cmc,88.41853,15.5,0.999594,0.0373,,"Rhodes,2025",1.1935
AT2022cmc,89.41304,15.5,0.880355,0.0537,,"Rhodes,2025",1.1935
AT2022cmc,90.42001,15.5,0.939697,0.0399,,"Rhodes,2025",1.1935
AT2022cmc,92.39032,15.5,0.934171,0.105665,,"Rhodes,2025",1.1935
AT2022cmc,95.57526,15.5,0.835049,0.0708,,"Rhodes,2025",1.1935
AT2022cmc,109.42718,15.5,0.798485,0.0589,,"Rhodes,2025",1.1935
AT2022cmc,111.38154,15.5,1.165945,0.0526,,"Rhodes,2025",1.1935
AT2022cmc,114.51377,15.5,1.062832,0.075,,"Rhodes,2025",1.1935
AT2022cmc,115.39539,15.5,1.140901,0.0536,,"Rhodes,2025",1.1935
AT2022cmc,133.34762,15.5,1.096769,0.0837,,"Rhodes,2025",1.1935
AT2022cmc,135.25983,15.5,0.913684,0.0444,,"Rhodes,2025",1.1935
AT2022cmc,143.3861,15.5,1.01596,0.0763,,"Rhodes,2025",1.1935
AT2022cmc,109.42733,15.5,0.987292,0.0667,,"Rhodes,2025",1.1935
AT2022cmc,111.38169,15.5,1.071795,0.0437,,"Rhodes,2025",1.1935
AT2022cmc,114.51409,15.5,1.046936,0.0722,,"Rhodes,2025",1.1935
AT2022cmc,115.39571,15.5,1.202596,0.0375,,"Rhodes,2025",1.1935
AT2022cmc,120.35782,15.5,0.948317,0.0883,,"Rhodes,2025",1.1935
AT2022cmc,135.26007,15.5,0.941905,0.0663,,"Rhodes,2025",1.1935
AT2022cmc,144.31168,15.5,0.906482,0.115348,,"Rhodes,2025",1.1935
AT2022cmc,193.25891,15.5,1.1165,0.0753,,"Rhodes,2025",1.1935
AT2022cmc,197.1157,15.5,1.084206,0.077,,"Rhodes,2025",1.1935
AT2022cmc,202.10622,15.5,1.189074,0.0736,,"Rhodes,2025",1.1935
AT2022cmc,209.05316,15.5,0.984835,0.066,,"Rhodes,2025",1.1935
AT2022cmc,211.01169,15.5,1.090054,0.0497,,"Rhodes,2025",1.1935
AT2022cmc,238.00576,15.5,1.181384,0.0358,,"Rhodes,2025",1.1935
AT2022cmc,240.97064,15.5,0.933748,0.0454,,"Rhodes,2025",1.1935
AT2022cmc,244.02131,15.5,1.188979,0.0357,,"Rhodes,2025",1.1935
AT2022cmc,246.92379,15.5,1.055158,0.0315,,"Rhodes,2025",1.1935
AT2022cmc,253.94138,15.5,1.068392,0.134882,,"Rhodes,2025",1.1935
AT2022cmc,274.0419,15.5,1.012612,0.0318,,"Rhodes,2025",1.1935
AT2022cmc,275.90278,15.5,0.969264,0.0708,,"Rhodes,2025",1.1935
AT2022cmc,282.95361,15.5,1.009422,0.0342,,"Rhodes,2025",1.1935
AT2022cmc,292.88337,15.5,0.935366,0.0483,,"Rhodes,2025",1.1935
AT2022cmc,296.85998,15.5,0.88373,0.0541,,"Rhodes,2025",1.1935
AT2022cmc,310.80591,15.5,1.008729,0.0759,,"Rhodes,2025",1.1935
AT2022cmc,318.82277,15.5,0.962016,0.038,,"Rhodes,2025",1.1935
AT2022cmc,339.74257,15.5,0.886131,0.0412,,"Rhodes,2025",1.1935
AT2022cmc,342.71569,15.5,0.976252,0.0533,,"Rhodes,2025",1.1935
AT2022cmc,358.67892,15.5,0.799883,0.033,,"Rhodes,2025",1.1935
AT2022cmc,362.67492,15.5,0.908596,0.036,,"Rhodes,2025",1.1935
AT2022cmc,365.67158,15.5,0.837736,0.0388,,"Rhodes,2025",1.1935
AT2022cmc,385.61697,15.5,0.661206,0.0266,,"Rhodes,2025",1.1935
AT2022cmc,391.59781,15.5,0.465433,0.136384,,"Rhodes,2025",1.1935
AT2022cmc,409.57222,15.5,0.636789,0.0276,,"Rhodes,2025",1.1935
AT2022cmc,419.52413,15.5,0.524972,0.0396,,"Rhodes,2025",1.1935
AT2022cmc,420.52141,15.5,0.693094,0.0421,,"Rhodes,2025",1.1935
AT2022cmc,428.48155,15.5,0.497862,0.0398,,"Rhodes,2025",1.1935
AT2022cmc,430.54396,15.5,0.420627,0.0434,,"Rhodes,2025",1.1935
AT2022cmc,434.55313,15.5,0.58296,0.0268,,"Rhodes,2025",1.1935
AT2022cmc,437.53766,15.5,0.521418,0.0261,,"Rhodes,2025",1.1935
AT2022cmc,448.40929,15.5,0.378335,0.0459,,"Rhodes,2025",1.1935
AT2022cmc,451.37201,15.5,0.509141,0.0773,,"Rhodes,2025",1.1935
AT2022cmc,452.61964,15.5,0.425051,0.0386,,"Rhodes,2025",1.1935
AT2022cmc,454.41057,15.5,0.547877,0.0576,,"Rhodes,2025",1.1935
AT2022cmc,457.46193,15.5,0.454086,0.0303,,"Rhodes,2025",1.1935
AT2022cmc,475.28813,15.5,0.463634,0.0287,,"Rhodes,2025",1.1935
AT2022cmc,478.33603,15.5,0.343442,0.066,,"Rhodes,2025",1.1935
AT2022cmc,512.2522,15.5,0.233096,0.0674,,"Rhodes,2025",1.1935
AT2022cmc,514.2786,15.5,0.387997,0.075,,"Rhodes,2025",1.1935
AT2022cmc,525.19177,15.5,0.255519,0.033,,"Rhodes,2025",1.1935
AT2022cmc,547.23628,15.5,0.341651,0.068147,,"Rhodes,2025",1.1935
AT2022cmc,568.30567,15.5,0.298051,0.078708,,"Rhodes,2025",1.1935
AT2022cmc,582.08669,15.5,0.201648,0.043972,,"Rhodes,2025",1.1935
AT2022cmc,589.1231,15.5,0.257619,0.043309,,"Rhodes,2025",1.1935
AT2022cmc,595.25099,15.5,0.265987,0.064252,,"Rhodes,2025",1.1935
AT2022cmc,603.03489,15.5,0.221509,0.069539,,"Rhodes,2025",1.1935
AT2022cmc,610.98189,15.5,0.239828,0.042061,,"Rhodes,2025",1.1935
AT2022cmc,633.05271,15.5,0.20727,0.041449,,"Rhodes,2025",1.1935
AT2022cmc,639.03841,15.5,0.325757,0.061511,,"Rhodes,2025",1.1935
AT2022cmc,652.96001,15.5,0.228363,0.043431,,"Rhodes,2025",1.1935
AT2022cmc,674.97819,15.5,0.172096,0.043941,,"Rhodes,2025",1.1935
AT2022cmc,694.92566,15.5,0.132167,0.030153,,"Rhodes,2025",1.1935
AT2022cmc,701.9391,15.5,0.172199,0.043672,,"Rhodes,2025",1.1935
AT2022cmc,715.69103,15.5,0.212502,0.047394,,"Rhodes,2025",1.1935
AT2022cmc,722.82635,15.5,0.155165,0.046982,,"Rhodes,2025",1.1935
AT2022cmc,757.61791,15.5,0.145081,0.037457,,"Rhodes,2025",1.1935
AT2022cmc,771.55267,15.5,0.136634,0.033289,,"Rhodes,2025",1.1935
