Unnamed: 0,Name,t_del(days),Freq(GHz),Flux_mjy,Flux-err_mJy,Distance_mpc,Ref,Redshift
16,SN 1987K,2394.0,8.4,0.22,0.07,16.5,"Bietenholz, 2021",
17,SN 1988Z,4438.0,8.4,0.21,0.07,111.0,"Bietenholz, 2021",
21,SN 1990K,16.0,8.4,0.14,0.04,23.4,"Bietenholz, 2021",
22,SN 1990K,998.0,8.4,0.11,0.03,23.4,"Bietenholz, 2021",
24,SN 1991G,2426.0,8.4,0.06,0.02,13.9,"Bietenholz, 2021",
25,SN 1991ae,1010.0,8.4,0.11,0.03,138.0,"Bietenholz, 2021",
26,SN 1992H,396.0,8.4,0.08,0.02,35.1,"Bietenholz, 2021",
27,SN 1992H,1312.0,8.4,0.26,0.09,35.1,"Bietenholz, 2021",
28,SN 1992ad,483.0,8.4,0.4,0.13,22.4,"Bietenholz, 2021",
29,SN 1992ad,1420.0,8.4,0.15,0.05,22.4,"Bietenholz, 2021",
30,SN 1992bd,19.0,8.4,0.08,0.02,16.9,"Bietenholz, 2021",
31,SN 1992bd,104.0,8.4,0.13,0.04,16.9,"Bietenholz, 2021",
32,SN 1992bd,116.0,8.4,0.14,0.04,16.9,"Bietenholz, 2021",
33,SN 1992bd,570.0,8.4,0.24,0.08,16.9,"Bietenholz, 2021",
34,SN 1992bd,819.0,8.4,0.3,0.1,16.9,"Bietenholz, 2021",
35,SN 1993G,359.0,8.4,0.11,0.03,53.1,"Bietenholz, 2021",
36,SN 1993N,309.0,8.4,0.11,0.03,50.2,"Bietenholz, 2021",
37,SN 1993N,1379.0,8.4,0.18,0.06,50.2,"Bietenholz, 2021",
38,SN 1993X,754.0,8.4,0.13,0.04,40.5,"Bietenholz, 2021",
39,SN 1994I,53.0,8.4,9.81,0.5,7.9,"Bietenholz, 2021",
40,SN 1994I,62.0,8.4,7.15,0.37,7.9,"Bietenholz, 2021",
41,SN 1994P,123.0,8.4,0.1,0.03,19.6,"Bietenholz, 2021",
42,SN 1994P,190.0,8.4,0.06,0.02,19.6,"Bietenholz, 2021",
43,SN 1994P,603.0,8.4,0.23,0.07,19.6,"Bietenholz, 2021",
44,SN 1994W,23.0,8.4,0.14,0.04,25.4,"Bietenholz, 2021",
45,SN 1994W,412.0,8.4,0.16,0.05,25.4,"Bietenholz, 2021",
46,SN 1994W,1916.0,8.4,0.17,0.05,25.4,"Bietenholz, 2021",
48,SN 1994Y,433.0,8.4,0.26,0.08,46.4,"Bietenholz, 2021",
49,SN 1994ai,20.0,8.4,0.09,0.03,15.6,"Bietenholz, 2021",
50,SN 1994ak,265.0,8.4,0.21,0.07,43.1,"Bietenholz, 2021",
51,SN 1995X,43.0,8.4,0.33,0.11,25.5,"Bietenholz, 2021",
52,SN 1995X,1041.0,8.4,0.14,0.04,25.5,"Bietenholz, 2021",
53,SN 1995X,1049.0,8.4,0.1,0.03,25.5,"Bietenholz, 2021",
55,SN 1995ad,14.0,8.6,0.6,0.2,27.0,"Bietenholz, 2021",
56,SN 1996L,700.0,8.6,0.17,0.05,157.0,"Bietenholz, 2021",
57,SN 1996N,45.0,8.4,0.19,0.09,19.8,"Bietenholz, 2021",
58,SN 1996W,196.0,8.4,0.19,0.06,12.2,"Bietenholz, 2021",
59,SN 1996W,288.0,8.4,0.26,0.08,12.2,"Bietenholz, 2021",
60,SN 1996W,639.0,8.4,0.2,0.06,12.2,"Bietenholz, 2021",
61,SN 1996ae,136.0,8.4,0.29,0.09,19.9,"Bietenholz, 2021",
62,SN 1996ae,203.0,8.4,0.27,0.09,19.9,"Bietenholz, 2021",
63,SN 1996ae,270.0,8.4,0.16,0.05,19.9,"Bietenholz, 2021",
64,SN 1996ae,1237.0,8.4,0.19,0.06,19.9,"Bietenholz, 2021",
65,SN 1996an,79.0,8.6,0.27,0.08,19.1,"Bietenholz, 2021",
67,SN 1996an,128.0,8.6,0.45,0.15,19.1,"Bietenholz, 2021",
68,SN 1996aq,49.0,8.4,0.2,0.06,21.8,"Bietenholz, 2021",
69,SN 1996bu,20.0,8.4,0.16,0.05,10.3,"Bietenholz, 2021",
70,SN 1996bu,1079.0,8.4,0.12,0.04,10.3,"Bietenholz, 2021",
72,SN 1996cb,21.0,8.4,0.99,0.13,13.9,"Bietenholz, 2021",
73,SN 1996cb,36.0,8.4,0.26,0.06,13.9,"Bietenholz, 2021",
74,SN 1997W,999.0,8.4,0.1,0.03,79.0,"Bietenholz, 2021",
76,SN 1997X,12.0,8.4,1.25,0.15,21.3,"Bietenholz, 2021",
77,SN 1997X,2456.0,8.4,0.12,0.04,21.3,"Bietenholz, 2021",
79,SN 1997ab,670.0,8.6,0.25,0.08,53.9,"Bietenholz, 2021",
80,SN 1997ab,789.0,8.6,0.19,0.06,53.9,"Bietenholz, 2021",
81,SN 1997db,192.0,8.4,0.06,0.02,18.9,"Bietenholz, 2021",
82,SN 1997db,684.0,8.4,0.11,0.03,18.9,"Bietenholz, 2021",
84,SN 1997dn,729.0,8.4,0.12,0.04,27.1,"Bietenholz, 2021",
85,SN 1997dq,120.0,8.4,0.09,0.03,15.7,"Bietenholz, 2021",
86,SN 1997dq,239.0,8.4,0.18,0.06,15.7,"Bietenholz, 2021",
87,SN 1997ef,1109.0,8.4,0.09,0.03,55.9,"Bietenholz, 2021",
88,SN 1997ei,201.0,8.4,0.17,0.05,48.8,"Bietenholz, 2021",
89,SN 1998S,92.0,8.4,0.09,0.03,14.9,"Bietenholz, 2021",
90,SN 1998S,101.0,8.4,0.12,0.04,14.9,"Bietenholz, 2021",
92,SN 1988S,,8.4,0.13,0.04,,"Bietenholz, 2021",
93,SN 1998S,607.0,8.4,1.08,0.07,14.9,"Bietenholz, 2021",
94,SN 1998S,1062.0,8.4,0.77,0.06,14.9,"Bietenholz, 2021",
95,SN 1998S,2161.0,8.4,0.67,0.06,14.9,"Bietenholz, 2021",
96,SN 1998S,3376.0,8.4,0.19,0.09,14.9,"Bietenholz, 2021",
97,SN 1998bm,5.0,8.4,0.18,0.06,24.7,"Bietenholz, 2021",
98,SN 1998bm,556.0,8.4,0.13,0.04,24.7,"Bietenholz, 2021",
99,SN 1998dl,35.0,8.4,0.11,0.03,19.1,"Bietenholz, 2021",
100,SN 1998dl,319.0,8.6,0.14,0.04,19.1,"Bietenholz, 2021",
101,SN 1998dn,302.0,8.4,0.11,0.03,13.7,"Bietenholz, 2021",
103,SN 1999B,288.0,8.4,0.16,0.05,31.2,"Bietenholz, 2021",
104,SN 1999D,42.0,8.4,0.3,0.1,52.6,"Bietenholz, 2021",
105,SN 1999D,286.0,8.4,0.21,0.07,52.6,"Bietenholz, 2021",
106,SN 1999E,170.0,8.6,0.07,0.02,119.0,"Bietenholz, 2021",
107,SN 1999cn,3.0,8.4,0.32,0.1,111.0,"Bietenholz, 2021",
109,SN 1999eb,26.0,8.4,0.08,0.02,79.0,"Bietenholz, 2021",
110,SN 1999el,8.0,8.4,0.1,0.03,23.1,"Bietenholz, 2021",
112,SN 1999em,12.0,8.4,0.26,0.08,11.5,"Bietenholz, 2021",
113,SN 1999em,38.0,8.4,0.16,0.02,11.5,"Bietenholz, 2021",
114,SN 1999em,50.0,8.4,0.19,0.04,11.5,"Bietenholz, 2021",
115,SN 1999em,64.0,8.4,0.12,0.03,11.5,"Bietenholz, 2021",
116,SN 1999em,113.0,8.4,0.1,0.04,11.5,"Bietenholz, 2021",
117,SN 1999gi,7.0,8.4,0.08,0.02,12.4,"Bietenholz, 2021",
118,SN 1999gi,213.0,8.4,0.2,0.06,12.4,"Bietenholz, 2021",
121,SN 1999gq,20.0,8.4,0.14,0.04,16.7,"Bietenholz, 2021",
123,SN 2000P,78.0,8.6,0.37,0.12,30.2,"Bietenholz, 2021",
124,SN 2000P,223.0,8.6,0.09,0.03,30.2,"Bietenholz, 2021",
125,SN 2000ew,1060.0,8.4,0.1,0.03,15.7,"Bietenholz, 2021",
126,SN 2001ci,46.0,8.4,1.16,0.11,16.4,"Bietenholz, 2021",
127,SN 2001ci,415.0,8.4,0.13,0.04,16.4,"Bietenholz, 2021",
