Name,t_del(days),Freq(GHz),Flux_mjy,Flux-err_mJy,Distance_mpc,Ref,Redshift
SN 2003bg,10.0,8.46,2.51,0.07,19.5,"Rose, 2024",
SN 2003bg,12.0,8.46,3.86,0.1,19.5,"Rose, 2024",
SN 2003bg,23.0,8.46,12.19,0.26,19.5,"Rose, 2024",
SN 2003bg,35.0,8.46,24.72,0.5,19.5,"Rose, 2024",
SN 2003bg,48.0,8.46,40.34,0.81,19.5,"Rose, 2024",
SN 2003bg,58.0,8.46,51.72,1.04,19.5,"Rose, 2024",
SN 2003bg,63.0,8.46,49.64,1.0,19.5,"Rose, 2024",
SN 2003bg,73.0,8.46,46.2,0.93,19.5,"Rose, 2024",
SN 2003bg,85.0,8.46,38.648,0.79,19.5,"Rose, 2024",
SN 2003bg,91.0,8.46,33.85,0.71,19.5,"Rose, 2024",
SN 2003bg,115.0,8.46,45.74,0.92,19.5,"Rose, 2024",
SN 2003bg,129.0,8.46,53.94,1.08,19.5,"Rose, 2024",
SN 2003bg,132.0,8.46,54.27,1.09,19.5,"Rose, 2024",
SN 2003bg,142.0,8.46,54.83,1.1,19.5,"Rose, 2024",
SN 2003bg,157.0,8.46,48.43,0.97,19.5,"Rose, 2024",
SN 2003bg,161.0,8.46,47.43,0.95,19.5,"Rose, 2024",
SN 2003bg,181.0,8.46,35.76,0.72,19.5,"Rose, 2024",
SN 2003bg,201.0,8.46,31.35,0.63,19.5,"Rose, 2024",
SN 2003bg,214.0,8.46,28.67,0.58,19.5,"Rose, 2024",
SN 2003bg,227.0,8.46,27.38,0.55,19.5,"Rose, 2024",
SN 2003bg,242.0,8.46,24.57,0.5,19.5,"Rose, 2024",
SN 2003bg,255.0,8.46,22.3,0.46,19.5,"Rose, 2024",
SN 2003bg,266.0,8.46,21.67,0.44,19.5,"Rose, 2024",
SN 2003bg,285.0,8.46,21.31,0.43,19.5,"Rose, 2024",
SN 2003bg,300.0,8.46,20.88,0.42,19.5,"Rose, 2024",
SN 2003bg,326.0,8.46,20.33,0.41,19.5,"Rose, 2024",
SN 2003bg,337.0,8.46,19.85,0.4,19.5,"Rose, 2024",
SN 2003bg,351.0,8.46,18.84,0.38,19.5,"Rose, 2024",
SN 2003bg,368.0,8.46,17.14,0.35,19.5,"Rose, 2024",
SN 2003bg,405.0,8.46,14.61,0.3,19.5,"Rose, 2024",
SN 2003bg,410.0,8.46,14.49,0.31,19.5,"Rose, 2024",
SN 2003bg,424.0,8.46,14.16,0.29,19.5,"Rose, 2024",
SN 2003bg,434.0,8.46,13.25,0.27,19.5,"Rose, 2024",
SN 2003bg,435.0,8.46,13.08,0.27,19.5,"Rose, 2024",
SN 2003bg,493.0,8.46,10.04,0.21,19.5,"Rose, 2024",
SN 2003bg,533.0,8.46,8.92,0.22,19.5,"Rose, 2024",
SN 2003bg,632.0,8.46,6.23,0.41,19.5,"Rose, 2024",
SN 2003bg,702.0,8.46,6.18,0.14,19.5,"Rose, 2024",
SN 2003bg,756.0,8.46,4.62,0.16,19.5,"Rose, 2024",
SN 2003bg,820.0,8.46,3.93,0.13,19.5,"Rose, 2024",
SN 2003bg,902.0,8.46,4.69,0.12,19.5,"Rose, 2024",
SN 2003bg,978.0,8.46,4.48,0.07,19.5,"Rose, 2024",
SN 2004dk,7.5,8.5,1.3,0.05,22.6,"Rose, 2024",
SN 2004dk,11.5,8.5,2.11,0.06,22.6,"Rose, 2024",
SN 2004dk,13.5,8.5,2.42,0.06,22.6,"Rose, 2024",
SN 2004dk,18.5,8.5,1.76,0.07,22.6,"Rose, 2024",
SN 2004dk,33.5,8.5,1.56,0.13,22.6,"Rose, 2024",
SN 2004dk,41.5,8.5,0.81,0.15,22.6,"Rose, 2024",
SN 2004dk,49.5,8.5,1.19,0.11,22.6,"Rose, 2024",
SN 2004dk,65.5,8.5,0.41,0.09,22.6,"Rose, 2024",
SN 2004dk,78.5,8.5,0.47,0.12,22.6,"Rose, 2024",
SN 2004dk,1657.5,8.5,0.19,0.03,22.6,"Rose, 2024",
SN 2004dk,1706.5,8.5,0.15,0.02,22.6,"Rose, 2024",
SN 2004dk,1876.5,8.5,0.17,0.02,22.6,"Rose, 2024",
SN 2004dk,5508.5,9.0,3.348,0.037,22.6,"Rose, 2024",
SN 2012dy,3220.5,9.0,2.4527,0.258,45.3,"Rose, 2024",
SN 2012dy,3257.5,9.0,2.495,0.256,45.3,"Rose, 2024",
SN 2012dy,3350.5,9.0,2.4042,0.244,45.3,"Rose, 2024",
SN 2012dy,3388.5,9.0,2.4042,0.244,45.3,"Rose, 2024",
SN 2012dy,3445.5,9.0,1.04,0.14,45.3,"Rose, 2024",
SN 2012dy,3472.5,9.0,1.7702,0.194,45.3,"Rose, 2024",
SN 2012dy,3500.5,9.0,1.8957,0.203,45.3,"Rose, 2024",
