Name,t_del(days),Freq(GHz),Flux_mjy,Flux-err_mJy,Distance_mpc,Ref,Redshift
ASASSN-14li ,141.38,8.5,2.04,0.04,90.0,"Alexander,2016",
ASASSN-14li ,207.33,8.5,1.31,0.06,90.0,"Alexander,2016",
ASASSN-14li ,247.21,8.5,1.06,0.02,90.0,"Alexander,2016",
ASASSN-14li ,307.08,8.5,0.72,0.04,90.0,"Alexander,2016",
ASASSN-14li ,375.94,7.1,0.49,0.07,90.0,"Alexander,2016",
ASASSN-14li ,386.96,7.1,0.61,0.03,90.0,"Alexander,2016",
AT2020opy ,99.0,9.0,0.068,0.01,,"Goodwin, 2023",0.159
AT2020opy ,162.0,9.0,0.134,0.008,,"Goodwin, 2023",0.159
AT2020opy ,330.0,9.0,0.198,0.009,,"Goodwin, 2023",0.159
AT2019azh ,131.98611,8.999,0.355,0.012,96.0,"Goodwin, 2022",
AT2019azh ,666.33,8.999,1.3283,0.0078,96.0,"Goodwin, 2022",
AT2019azh ,65.09306,9.0,0.331,0.009,96.0,"Goodwin, 2022",
AT2019azh ,93.86042,9.0,0.32,0.01,96.0,"Goodwin, 2022",
AT2019azh ,182.79583,9.0,0.45,0.011,96.0,"Goodwin, 2022",
AT2019azh ,253.62778,9.0,0.483,0.009,96.0,"Goodwin, 2022",
AT2019azh ,295.52222,9.0,0.672,0.024,96.0,"Goodwin, 2022",
AT2019azh ,350.39375,9.0,0.979,0.021,96.0,"Goodwin, 2022",
AT2019azh ,458.92986,9.0,0.836,0.011,96.0,"Goodwin, 2022",
AT2019azh ,749.294,9.0,0.904,0.0083,96.0,"Goodwin, 2022",
AT2019azh ,848.83472,9.0,0.598,0.036,96.0,"Goodwin, 2022",
AT2019azh ,29.05,10.0,0.15,0.012,96.0,"Goodwin, 2022",
XMMSL1 J0740-85,592.0,9.0,0.38,0.01,,"Alexander,2017",0.0173
XMMSL1 J0740-85,769.0,9.0,0.25,0.01,,"Alexander,2017",0.0173
XMMSL1 J0740-85,875.0,9.0,0.23,0.02,,"Alexander,2017",0.0173
